2016-03-26 11:07:42 startup archives install
2016-03-26 11:07:42 install base-passwd <none> 3.5.22
2016-03-26 11:07:42 status half-installed base-passwd 3.5.22
2016-03-26 11:07:42 status unpacked base-passwd 3.5.22
2016-03-26 11:07:42 status unpacked base-passwd 3.5.22
2016-03-26 11:07:42 configure base-passwd 3.5.22 3.5.22
2016-03-26 11:07:42 status unpacked base-passwd 3.5.22
2016-03-26 11:07:42 status half-configured base-passwd 3.5.22
2016-03-26 11:07:42 status installed base-passwd 3.5.22
2016-03-26 11:07:42 startup archives install
2016-03-26 11:07:42 install base-files <none> 5.0.0ubuntu28
2016-03-26 11:07:42 status half-installed base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 configure base-files 5.0.0ubuntu28 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status half-configured base-files 5.0.0ubuntu28
2016-03-26 11:07:42 status installed base-files 5.0.0ubuntu28
2016-03-26 11:07:42 startup archives install
2016-03-26 11:07:42 upgrade dpkg 1.16.0~ubuntu7 1.16.0~ubuntu7
2016-03-26 11:07:42 status half-configured dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status unpacked dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status half-installed dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status half-installed dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status unpacked dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status unpacked dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 configure dpkg 1.16.0~ubuntu7 1.16.0~ubuntu7
2016-03-26 11:07:42 status unpacked dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status unpacked dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status unpacked dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status unpacked dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status unpacked dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status half-configured dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 status installed dpkg 1.16.0~ubuntu7
2016-03-26 11:07:42 startup archives install
2016-03-26 11:07:42 install libc6 <none> 2.13-0ubuntu13
2016-03-26 11:07:42 status half-installed libc6 2.13-0ubuntu13
2016-03-26 11:07:43 status unpacked libc6 2.13-0ubuntu13
2016-03-26 11:07:43 status unpacked libc6 2.13-0ubuntu13
2016-03-26 11:07:43 configure libc6 2.13-0ubuntu13 2.13-0ubuntu13
2016-03-26 11:07:43 status unpacked libc6 2.13-0ubuntu13
2016-03-26 11:07:43 status unpacked libc6 2.13-0ubuntu13
2016-03-26 11:07:43 status half-configured libc6 2.13-0ubuntu13
2016-03-26 11:07:43 status installed libc6 2.13-0ubuntu13
2016-03-26 11:07:43 startup archives install
2016-03-26 11:07:43 install perl-base <none> 5.10.1-17ubuntu4
2016-03-26 11:07:43 status half-installed perl-base 5.10.1-17ubuntu4
2016-03-26 11:07:43 status unpacked perl-base 5.10.1-17ubuntu4
2016-03-26 11:07:43 status unpacked perl-base 5.10.1-17ubuntu4
2016-03-26 11:07:43 configure perl-base 5.10.1-17ubuntu4 5.10.1-17ubuntu4
2016-03-26 11:07:43 status unpacked perl-base 5.10.1-17ubuntu4
2016-03-26 11:07:43 status half-configured perl-base 5.10.1-17ubuntu4
2016-03-26 11:07:43 status installed perl-base 5.10.1-17ubuntu4
2016-03-26 11:07:43 startup archives install
2016-03-26 11:07:43 install mawk <none> 1.3.3-15ubuntu2
2016-03-26 11:07:43 status half-installed mawk 1.3.3-15ubuntu2
2016-03-26 11:07:43 status unpacked mawk 1.3.3-15ubuntu2
2016-03-26 11:07:43 status unpacked mawk 1.3.3-15ubuntu2
2016-03-26 11:07:43 configure mawk 1.3.3-15ubuntu2 1.3.3-15ubuntu2
2016-03-26 11:07:43 status unpacked mawk 1.3.3-15ubuntu2
2016-03-26 11:07:43 status half-configured mawk 1.3.3-15ubuntu2
2016-03-26 11:07:43 status installed mawk 1.3.3-15ubuntu2
2016-03-26 11:07:43 startup archives unpack
2016-03-26 11:07:43 install adduser <none> 3.112+nmu1ubuntu5
2016-03-26 11:07:43 status half-installed adduser 3.112+nmu1ubuntu5
2016-03-26 11:07:43 status unpacked adduser 3.112+nmu1ubuntu5
2016-03-26 11:07:43 status unpacked adduser 3.112+nmu1ubuntu5
2016-03-26 11:07:43 upgrade base-files 5.0.0ubuntu28 5.0.0ubuntu28
2016-03-26 11:07:43 status half-configured base-files 5.0.0ubuntu28
2016-03-26 11:07:43 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:43 status half-installed base-files 5.0.0ubuntu28
2016-03-26 11:07:43 status half-installed base-files 5.0.0ubuntu28
2016-03-26 11:07:43 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:43 status unpacked base-files 5.0.0ubuntu28
2016-03-26 11:07:43 upgrade base-passwd 3.5.22 3.5.22
2016-03-26 11:07:43 status half-configured base-passwd 3.5.22
2016-03-26 11:07:43 status unpacked base-passwd 3.5.22
2016-03-26 11:07:43 status half-installed base-passwd 3.5.22
2016-03-26 11:07:43 status half-installed base-passwd 3.5.22
2016-03-26 11:07:43 status unpacked base-passwd 3.5.22
2016-03-26 11:07:43 status unpacked base-passwd 3.5.22
2016-03-26 11:07:43 install bash <none> 4.2-0ubuntu3
2016-03-26 11:07:43 status half-installed bash 4.2-0ubuntu3
2016-03-26 11:07:43 status unpacked bash 4.2-0ubuntu3
2016-03-26 11:07:43 status unpacked bash 4.2-0ubuntu3
2016-03-26 11:07:43 install bsdutils <none> 1:2.17.2-9.1ubuntu4
2016-03-26 11:07:43 status half-installed bsdutils 1:2.17.2-9.1ubuntu4
2016-03-26 11:07:43 status unpacked bsdutils 1:2.17.2-9.1ubuntu4
2016-03-26 11:07:43 status unpacked bsdutils 1:2.17.2-9.1ubuntu4
2016-03-26 11:07:43 install busybox-initramfs <none> 1:1.17.1-10ubuntu1
2016-03-26 11:07:43 status half-installed busybox-initramfs 1:1.17.1-10ubuntu1
2016-03-26 11:07:43 status unpacked busybox-initramfs 1:1.17.1-10ubuntu1
2016-03-26 11:07:43 status unpacked busybox-initramfs 1:1.17.1-10ubuntu1
2016-03-26 11:07:43 install coreutils <none> 8.5-1ubuntu6
2016-03-26 11:07:43 status half-installed coreutils 8.5-1ubuntu6
2016-03-26 11:07:43 status unpacked coreutils 8.5-1ubuntu6
2016-03-26 11:07:43 status unpacked coreutils 8.5-1ubuntu6
2016-03-26 11:07:44 install cpio <none> 2.11-7ubuntu1
2016-03-26 11:07:44 status half-installed cpio 2.11-7ubuntu1
2016-03-26 11:07:44 status unpacked cpio 2.11-7ubuntu1
2016-03-26 11:07:44 status unpacked cpio 2.11-7ubuntu1
2016-03-26 11:07:44 install dash <none> 0.5.5.1-7.2ubuntu1
2016-03-26 11:07:44 status half-installed dash 0.5.5.1-7.2ubuntu1
2016-03-26 11:07:44 status unpacked dash 0.5.5.1-7.2ubuntu1
2016-03-26 11:07:44 status unpacked dash 0.5.5.1-7.2ubuntu1
2016-03-26 11:07:44 install debconf <none> 1.5.36ubuntu4
2016-03-26 11:07:44 status half-installed debconf 1.5.36ubuntu4
